config,mpxi_windowed_active_mean,cnr_sector_mean,aperture_diam_mm
lhs4d_7_ap0.957544_nap90_nd1_570_nd2_294,1.177948925820835,2.144799371560415,0.957544
lhs4d_5_ap0.274585_nap218_nd1_150_nd2_670,2.2595162569389373,3.631796876589457,0.274585
lhs4d_6_ap0.395443_nap96_nd1_598_nd2_912,1.3734279264753306,3.88912026087443,0.395443
lhs4d_2_ap0.712391_nap143_nd1_124_nd2_622,1.3069883527454242,2.1075651248296103,0.712391
lhs4d_1_ap0.480361_nap221_nd1_380_nd2_222,1.978145554848292,2.4458223978678384,0.480361
lhs4d_3_ap0.340036_nap63_nd1_202_nd2_788,1.2985425481899389,4.117370883623759,0.340036
lhs4d_8_ap0.459520_nap240_nd1_424_nd2_246,2.191705631225859,2.370429436365763,0.45952
lhs4d_11_ap0.380131_nap164_nd1_316_nd2_666,1.814182534471438,3.926053762435913,0.380131
lhs4d_9_ap0.769614_nap140_nd1_614_nd2_904,1.247780468119451,2.3362857500712075,0.769614
lhs4d_10_ap0.410445_nap111_nd1_492_nd2_568,1.445535972262352,3.903237422307333,0.410445
lhs4d_14_ap0.439915_nap120_nd1_290_nd2_200,1.5397477266060429,3.4148054122924805,0.439915
lhs4d_20_ap0.680809_nap212_nd1_270_nd2_428,1.4921348314606742,1.959232787291209,0.680809
lhs4d_12_ap0.676147_nap150_nd1_332_nd2_750,1.3298180859477986,2.216450909773509,0.676147
lhs4d_15_ap0.695740_nap80_nd1_438_nd2_284,1.11654478976234,2.424997329711914,0.69574
lhs4d_13_ap0.309090_nap260_nd1_148_nd2_518,2.4914171656686626,2.998390356699625,0.30909
lhs4d_19_ap0.666088_nap239_nd1_522_nd2_562,1.3266305748904357,2.1475242177645364,0.666088
lhs4d_21_ap0.205856_nap132_nd1_540_nd2_354,1.679549114331723,3.405877153078715,0.205856
lhs4d_16_ap0.494517_nap159_nd1_230_nd2_836,1.5104942450914014,2.8563075264294944,0.494517
lhs4d_23_ap0.738222_nap76_nd1_336_nd2_544,1.1393034825870647,2.443732062975565,0.738222
lhs4d_18_ap0.657565_nap102_nd1_500_nd2_360,1.1894191638919718,2.482467075188955,0.657565
lhs4d_17_ap0.416775_nap268_nd1_324_nd2_528,2.5405656866393747,2.612619698047638,0.416775
mobo_0025_ap0.4009_nap233_nd1_364_nd2_960,2.171428571428572,2.8947283029556274,0.4008558850316883
mobo_0026_ap0.7070_nap227_nd1_660_nd2_878,1.24728555917481,2.044567108154297,0.70699409209973
mobo_0027_ap0.8468_nap106_nd1_660_nd2_960,1.1650201244054152,2.269750157992045,0.8468472899060586
mobo_0028_ap0.4002_nap249_nd1_198_nd2_180,2.6531270148291424,2.4033087293306985,0.4002227823537294
mobo_0029_ap0.6382_nap193_nd1_660_nd2_960,1.3498380379453956,2.1380295952161155,0.6381826073820527
mobo_0030_ap0.6861_nap215_nd1_660_nd2_180,1.4234008650125198,2.009503761927286,0.6860942816052369
mobo_0031_ap1.0000_nap122_nd1_120_nd2_960,1.2152982870643827,2.045417050520579,1.0
mobo_0032_ap0.6323_nap224_nd1_660_nd2_960,1.3788240399218918,2.0578842759132385,0.6322740442621158
mobo_0033_ap0.9945_nap202_nd1_660_nd2_960,1.154350677743769,1.6636504729588826,0.9945409480969868
mobo_0034_ap1.0000_nap168_nd1_660_nd2_960,1.2907747196738022,1.9698842565218608,1.0
mobo_0036_ap1.0000_nap184_nd1_660_nd2_960,1.198470363288719,1.792582372824351,1.0
mobo_0035_ap1.0000_nap184_nd1_660_nd2_960,1.198470363288719,1.8503069281578064,1.0
mobo_0037_ap0.9235_nap148_nd1_660_nd2_180,1.2729228287173973,1.953351179758708,0.9235335216270302
mobo_0038_ap1.0000_nap100_nd1_120_nd2_180,1.124291650925576,1.8800140817960105,1.0
mobo_0039_ap0.9483_nap218_nd1_266_nd2_960,1.11839530332681,1.5549910267194111,0.9483298690996386
mobo_0040_ap0.8320_nap177_nd1_660_nd2_960,1.2853541141416456,1.9774880607922871,0.8320380112486225
mobo_0041_ap0.9617_nap215_nd1_660_nd2_960,1.1114180478821365,1.6769350568453472,0.9617019137847498
mobo_0042_ap0.7409_nap172_nd1_120_nd2_180,1.390217683418436,1.783585290114085,0.7408524969889652
mobo_0043_ap0.9440_nap219_nd1_660_nd2_960,1.101893597835888,1.6283629139264424,0.9439539336242978
mobo_0044_ap1.0000_nap60_nd1_660_nd2_960,1.0786585365853658,2.25556347767512,1.0
mobo_0045_ap0.3647_nap264_nd1_660_nd2_960,2.496272223284267,2.8746896386146545,0.3646951244610755
mobo_0046_ap0.2000_nap265_nd1_660_nd2_180,2.8660251665433014,2.902961810429891,0.2
mobo_0047_ap0.7874_nap262_nd1_120_nd2_750,1.049034175334324,1.5479134023189545,0.787388975052371
mobo_0048_ap0.8393_nap246_nd1_166_nd2_960,1.129220023282887,1.491215169429779,0.8392516726167529
mobo_0049_ap0.7813_nap264_nd1_636_nd2_960,1.1652767247915088,1.624008377393087,0.7813481494837925
mobo_0050_ap0.9715_nap195_nd1_222_nd2_804,1.1525490196078432,1.8756948113441467,0.971473828703165
mobo_0051_ap0.7754_nap266_nd1_660_nd2_960,1.0948970456580125,1.6229746739069622,0.7753981633974482
mobo_0052_ap0.9265_nap223_nd1_556_nd2_736,1.0876288659793814,1.7906928658485413,0.9264505460858344
mobo_0053_ap0.7029_nap267_nd1_500_nd2_370,1.2347702173138582,1.825881818930308,0.7029089331626892
mobo_0054_ap0.8393_nap246_nd1_660_nd2_960,1.101010101010101,1.5862773259480794,0.8392516726167529
mobo_0055_ap0.8125_nap254_nd1_568_nd2_222,1.0967351874244256,1.6798049410184224,0.8125035884398473
mobo_0056_ap0.8190_nap252_nd1_642_nd2_960,1.106907894736842,1.5877483288447063,0.8190313946973063
mobo_0057_ap0.8190_nap252_nd1_660_nd2_960,1.1193755739210285,1.6082820097605388,0.8190313946973063
mobo_0058_ap0.7574_nap250_nd1_212_nd2_730,1.1578370478626232,1.7211133042971294,0.7573518097400667
mobo_0059_ap0.8569_nap241_nd1_226_nd2_960,1.149631190727081,1.5550600091616311,0.8568710019241544
mobo_0060_ap0.5532_nap179_nd1_326_nd2_646,1.4454317612212348,2.476516584555308,0.5532352589070797
mobo_0061_ap0.8061_nap256_nd1_660_nd2_960,1.108555657773689,1.595472792784373,0.806077779155161
mobo_0062_ap0.8629_nap104_nd1_324_nd2_532,1.2013605442176871,2.2266722917556763,0.8629005864262582
mobo_0063_ap0.2058_nap234_nd1_282_nd2_718,2.6778947368421053,3.115984996159872,0.2057953096926212
mobo_0064_ap0.9527_nap160_nd1_484_nd2_690,1.3279595765158807,2.0149554014205933,0.9527040325105192
mobo_0065_ap0.2564_nap239_nd1_478_nd2_330,2.3589292692458,3.581127921740214,0.2564494952559471
mobo_0066_ap0.5835_nap124_nd1_452_nd2_958,1.2252362084730266,2.643122971057892,0.5834983937442303
mobo_0067_ap0.9958_nap209_nd1_614_nd2_402,1.088095238095238,1.740957220395406,0.995818877965212
mobo_0068_ap0.8239_nap154_nd1_148_nd2_680,1.30406543180178,1.9520954688390093,0.8239312686026097
mobo_0069_ap0.3138_nap124_nd1_612_nd2_230,1.4787108219988172,4.397268255551656,0.3138086766004562
mobo_0070_ap0.7725_nap267_nd1_642_nd2_960,1.097852028639618,1.5852014819780986,0.7724565972424016
mobo_0071_ap0.8463_nap188_nd1_640_nd2_186,1.3940359663100388,1.980528275171916,0.8462784752249719
mobo_0072_ap0.7754_nap266_nd1_120_nd2_960,1.1630276564774382,1.555897941191991,0.7753981633974482
mobo_0073_ap0.5913_nap207_nd1_472_nd2_212,1.509468400638832,2.127974728743235,0.5912652730941772
mobo_0074_ap0.7874_nap262_nd1_660_nd2_960,1.092756183745583,1.6319881677627563,0.787388975052371
mobo_0075_ap0.9837_nap212_nd1_424_nd2_668,1.086235489220564,1.568666954835256,0.9837143011391164
mobo_0076_ap0.5748_nap81_nd1_440_nd2_584,1.132134831460674,2.914855718612671,0.5747898131608964
mobo_0077_ap0.9992_nap128_nd1_330_nd2_366,1.2597748815165877,1.945794800917308,0.9991832450032234
mobo_0078_ap0.8550_nap73_nd1_222_nd2_324,1.1727047146401983,2.2033323645591736,0.8549960613250733
mobo_0079_ap0.2613_nap169_nd1_176_nd2_450,1.9002411751808808,4.2474037408828735,0.2613262206315994
mobo_0080_ap0.4779_nap197_nd1_606_nd2_352,1.7132867132867131,2.9467599987983704,0.4779053032398224
mobo_0081_ap0.9988_nap137_nd1_546_nd2_574,1.2587926509186351,2.007695515950521,0.9987958528101444
mobo_0082_ap0.4856_nap102_nd1_188_nd2_870,1.3325892857142858,3.1306589047114053,0.4855781279504299
mobo_0083_ap0.9742_nap181_nd1_164_nd2_908,1.2129925452609158,2.018033504486084,0.974249964952469
mobo_0084_ap0.2046_nap90_nd1_206_nd2_908,1.4818889187013684,3.130864222844442,0.2045660302042961
mobo_0085_ap0.9618_nap99_nd1_660_nd2_874,1.1408342900880215,2.1981387933095298,0.9617637746036054
mobo_0086_ap0.4298_nap244_nd1_634_nd2_604,2.0887714181553045,2.68737655878067,0.4298481188714504
mobo_0087_ap0.7226_nap250_nd1_436_nd2_846,1.2471264367816093,1.9693549076716104,0.7226425543427468
mobo_0088_ap0.4058_nap256_nd1_208_nd2_954,2.441166014930679,2.516205708185832,0.4057777002453804
mobo_0089_ap0.7335_nap119_nd1_418_nd2_452,1.212326656394453,2.19932621717453,0.7335252098739147
mobo_0090_ap0.9337_nap61_nd1_606_nd2_480,1.118114707552527,2.552704612414042,0.933717129379511
mobo_0091_ap0.6221_nap204_nd1_212_nd2_774,1.476534296028881,2.027641236782074,0.6221021682024002
mobo_0092_ap0.4862_nap60_nd1_220_nd2_634,1.2063894523326573,3.348252852757772,0.4862238965928555
mobo_0093_ap0.7087_nap264_nd1_166_nd2_884,1.2042893493275173,1.8258703351020813,0.708745177090168
mobo_0094_ap0.7839_nap168_nd1_642_nd2_632,1.358292512246326,2.017671366532644,0.7838578544557095
